                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.91576,                0.45587,                0.79045,                0.78966,                0.69733,                0.71902,                0.46362,                0.99388,                0.48383,                0.79543,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.8976,                0.44463,                0.79139,                0.75846,                0.64331,                0.69783,                 0.4443,                 1.0085,                0.48725,                0.79748,             0.00012387,             0.00012387,             0.00012387
                     93,                0.88726,                0.43682,                0.79179,                0.73136,                0.65904,                0.71655,                0.45566,                0.99525,                0.48102,                0.79608,              0.0001115,              0.0001115,              0.0001115
                     94,                0.87313,                0.43583,                0.79056,                0.74253,                0.62996,                0.70355,                0.45145,                0.99239,                0.48425,                0.79646,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.86945,                0.43289,                0.78702,                0.77153,                0.68818,                0.72161,                0.45993,                0.99669,                 0.4899,                 0.7959,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.86581,                0.43094,                0.78912,                0.70881,                0.65588,                0.71065,                0.45426,                 1.0061,                0.48362,                0.79736,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.85981,                0.42701,                 0.7874,                0.69744,                0.68268,                0.70605,                0.44747,                0.99859,                  0.489,                 0.7958,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.84288,                 0.4194,                0.78964,                0.71806,                 0.6939,                0.71042,                0.44834,                0.99789,                0.48986,                0.79715,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.87192,                 0.4294,                0.78714,                0.71087,                0.63786,                0.70436,                0.45418,                0.99326,                0.49092,                0.79664,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.86207,                0.42718,                0.78739,                0.72973,                0.64383,                0.71368,                0.45346,                0.99193,                0.48329,                0.79599,             2.4875e-05,             2.4875e-05,             2.4875e-05
